job_id,job,location,work_type,full_time_remote,no_of_application,posted_day_ago,role_category,skills_found
3476472234,Data Analyst,"Bhopal, Madhya Pradesh, India",Hybrid,Full-time,43.0,2 hours,Data Analyst,"['Python', 'Excel', 'Tableau', 'Power BI']"
3460397953,Data Scientist,"Mumbai, Maharashtra, India",On-site,Full-time · Associate,200.0,6 days,AI / ML Engineer,"['Python', 'SQL', 'Excel', 'Tableau', 'Power BI', 'Statistics', 'Machine Learning', 'Deep Learning', 'Spark']"
3471658510,"Data Analyst, Trilogy (Remote) - $60,000/year USD","Bengaluru, Karnataka, India",Remote,Full-time · Associate,200.0,1 day,Data Analyst,['Excel']
3464501851,Machine Learning / Data Science,"Bengaluru, Karnataka, India",Hybrid,Full-time · Associate,200.0,3 days,AI / ML Engineer,"['Python', 'Statistics', 'A/B Testing', 'Machine Learning']"
3464504253,Machine Learning / Data Science,"Bengaluru, Karnataka, India",Hybrid,Full-time · Associate,200.0,3 days,AI / ML Engineer,"['Python', 'Statistics', 'A/B Testing', 'Machine Learning']"
3464550735,Product Data Scientist/ Analyst,"Delhi, India",Hybrid,Full-time · Mid-Senior level,200.0,3 days,AI / ML Engineer,"['Python', 'SQL', 'Tableau', 'Statistics', 'A/B Testing', 'Pandas', 'NumPy']"
3474475792,Associate Data Scientist,"Pune, Maharashtra, India",Remote,Full-time · Mid-Senior level,150.0,17 hours,AI / ML Engineer,"['Python', 'SQL', 'Excel', 'Tableau', 'Statistics', 'Machine Learning']"
3469063592,Data Scientist,"Chennai, Tamil Nadu, India",Hybrid,Full-time · Mid-Senior level,123.0,9 hours,AI / ML Engineer,"['Python', 'Excel', 'Tableau', 'Machine Learning', 'GCP']"
3468593721,Data Scientist,"Bengaluru, Karnataka, India",,Full-time,,10 hours,AI / ML Engineer,"['Python', 'SQL', 'Tableau', 'Statistics', 'Pandas', 'NumPy', 'Scikit-learn', 'Machine Learning', 'Deep Learning', 'NLP', 'LLMs', 'Docker', 'AWS', 'GCP']"
3473572189,Data Analyst - Lead,"Ghaziabad, Uttar Pradesh, India",Remote,Full-time · Mid-Senior level,109.0,2 days,Data Analyst,"['Python', 'SQL', 'Excel', 'Power BI', 'Statistics', 'Spark', 'GCP']"
3472814710,"Text Analytics, Machine Learning, Python, NLP","Bangalore Urban, Karnataka, India",Hybrid,Full-time · Mid-Senior level,32.0,1 day,AI / ML Engineer,"['Python', 'Scikit-learn', 'Machine Learning', 'Deep Learning', 'NLP', 'Spark']"
3468598322,Artificial Intelligence Engineer,"Bengaluru, Karnataka, India",On-site,Full-time · Mid-Senior level,136.0,15 hours,AI / ML Engineer,"['Statistics', 'Machine Learning', 'NLP']"
3474909211,Data Scientist,"Bengaluru, Karnataka, India",On-site,Full-time · Mid-Senior level,200.0,14 hours,AI / ML Engineer,"['Python', 'SQL', 'Excel', 'Statistics', 'Machine Learning', 'Deep Learning', 'NLP', 'Spark', 'Azure']"
3464542941,AWS ML Engineer,"Pune, Maharashtra, India",Hybrid,Full-time · Mid-Senior level,168.0,3 days,AI / ML Engineer,"['Python', 'Excel', 'Machine Learning', 'NLP', 'LLMs', 'Spark', 'AWS']"
3476370369,Data Analyst,"Pune, Maharashtra, India",On-site,Full-time · Associate,200.0,11 hours,Data Analyst,"['Python', 'SQL', 'Excel', 'Machine Learning']"
3466797396,Data Analyst [T500-4357],"Bengaluru, Karnataka, India",On-site,Full-time · Associate,200.0,6 days,Data Analyst,"['Python', 'SQL', 'Excel', 'Tableau', 'Power BI', 'Statistics', 'LLMs']"
3467357110,Data Scientist,"Bengaluru, Karnataka, India",On-site,Full-time · Associate,200.0,1 day,AI / ML Engineer,"['Python', 'SQL', 'Excel', 'Tableau', 'Power BI', 'Statistics', 'Machine Learning', 'Deep Learning', 'LLMs', 'Spark']"
3468590760,Senior Machine Learning Engineer,India,Remote,Full-time,109.0,12 hours,AI / ML Engineer,"['Python', 'SQL', 'Excel', 'Machine Learning', 'Deep Learning', 'Docker', 'Kubernetes', 'AWS', 'Azure', 'GCP']"
3469005819,Data Analyst / Senior Data Analyst,"Gurugram, Haryana, India",On-site,Full-time · Associate,200.0,13 hours,Data Analyst,"['Python', 'SQL', 'Excel', 'Tableau']"
3469043009,Sr. AI Engineer - Remote work,India,Remote,Full-time · Mid-Senior level,81.0,12 hours,AI / ML Engineer,"['Python', 'Excel', 'Machine Learning', 'Deep Learning', 'NLP']"
3474343937,ML Engineer - WFH,India,Remote,Full-time · Mid-Senior level,200.0,1 day,AI / ML Engineer,"['Python', 'Statistics', 'Machine Learning', 'Deep Learning', 'NLP', 'Spark']"
3474503244,Data Analyst - Ad Operations,"Hyderabad, Telangana, India",On-site,Full-time · Associate,158.0,1 day,Data Analyst,"['Excel', 'Tableau']"
3467391396,Machine Learning Ops Engineer,"Bengaluru, Karnataka, India",Hybrid,Full-time · Mid-Senior level,54.0,1 day,AI / ML Engineer,"['Python', 'SQL', 'Excel', 'A/B Testing', 'Pandas', 'Machine Learning', 'LLMs', 'Docker', 'AWS']"
3475023531,Lead Data Scientist,"Vadodara, Gujarat, India",On-site,Full-time · Entry level,76.0,1 day,AI / ML Engineer,"['Python', 'SQL', 'Statistics']"
3464562267,Data Scientist,Greater Bengaluru Area,Hybrid,Full-time · Mid-Senior level,200.0,3 days,AI / ML Engineer,"['Python', 'SQL', 'Excel', 'Statistics', 'Machine Learning']"
3467348819,Data Scientist,"Mumbai, Maharashtra, India",On-site,Full-time · Associate,200.0,1 day,AI / ML Engineer,"['Python', 'SQL', 'Excel', 'Tableau', 'Power BI', 'Statistics', 'Machine Learning', 'Deep Learning', 'LLMs', 'Spark']"
3473574018,Data Analyst Executive,"Ahmedabad, Gujarat, India",Remote,Full-time · Mid-Senior level,191.0,2 days,Data Analyst,"['Python', 'SQL', 'Excel', 'Power BI', 'Statistics', 'Spark', 'GCP']"
3472992038,Data Scientist Specialist,"Chennai, Tamil Nadu, India",Remote,Full-time · Mid-Senior level,73.0,2 days,AI / ML Engineer,"['Python', 'SQL', 'Excel', 'Tableau', 'Statistics', 'Machine Learning']"
3469826902,Data Analyst - Datastage Developer,"Bengaluru, Karnataka, India",Hybrid,Full-time,9.0,3 hours,Data Analyst,"['Spark', 'Azure']"
3472972955,Deputy Vice President - Data Scientist,"Gurgaon, Haryana, India",On-site,Full-time · Mid-Senior level,200.0,2 days,AI / ML Engineer,"['Python', 'SQL', 'Statistics', 'Machine Learning', 'Spark', 'AWS']"
3466128000,Staff Data Analyst,"Bengaluru, Karnataka, India",Hybrid,Full-time · Mid-Senior level,200.0,2 days,Data Analyst,"['Python', 'SQL', 'Tableau', 'Statistics', 'Machine Learning', 'Deep Learning', 'LLMs', 'Spark', 'Azure', 'GCP']"
3472847494,Data Analyst,"Mumbai, Maharashtra, India",On-site,Full-time · Mid-Senior level,200.0,1 day,Data Analyst,['Tableau']
3464533598,Data Analyst || Tableau,"Chennai, Tamil Nadu, India",On-site,Full-time · Associate,200.0,3 days,Data Analyst,"['SQL', 'Tableau', 'AWS']"
3474357031,Data Scientist,"Mumbai, Maharashtra, India",On-site,Full-time · Mid-Senior level,200.0,1 day,AI / ML Engineer,"['Excel', 'Statistics']"
3468573217,Data Scientist,"Bengaluru, Karnataka, India",Hybrid,Full-time · Mid-Senior level,200.0,17 hours,AI / ML Engineer,"['Python', 'Machine Learning', 'Spark', 'Azure']"
3474487617,Data Scientist,"Bengaluru, Karnataka, India",Hybrid,Full-time · Mid-Senior level,200.0,15 hours,AI / ML Engineer,"['Python', 'SQL', 'Tableau', 'Statistics', 'Pandas', 'NumPy', 'Scikit-learn', 'Machine Learning', 'Deep Learning', 'NLP', 'LLMs', 'Spark', 'Docker', 'AWS', 'Azure']"
3476921109,Senior Computer Vision Engineer (Algorithm Developer),"Bengaluru, Karnataka, India",Hybrid,Full-time · Mid-Senior level,48.0,8 hours,AI / ML Engineer,"['Python', 'Machine Learning']"
3476231253,Data Analyst (India),India,Remote,Full-time,200.0,8 hours,Data Analyst,"['Python', 'Excel', 'Statistics', 'Machine Learning']"
3466686606,Artificial Intelligence Engineer - WFH,India,Remote,Full-time · Mid-Senior level,105.0,6 days,AI / ML Engineer,"['Python', 'Statistics', 'Machine Learning', 'Deep Learning', 'NLP', 'Spark']"
3466691243,Artificial Intelligence Engineer - WFH,Greater Ahmedabad Area,Remote,Full-time · Mid-Senior level,47.0,6 days,AI / ML Engineer,"['Python', 'Statistics', 'Machine Learning', 'Deep Learning', 'NLP', 'Spark']"
3466692047,Artificial Intelligence Engineer - WFH,Greater Chennai Area,Remote,Full-time · Mid-Senior level,47.0,6 days,AI / ML Engineer,"['Python', 'Statistics', 'Machine Learning', 'Deep Learning', 'NLP', 'Spark']"
3473470261,Machine Learning Engineer,"Mumbai, Maharashtra, India",Remote,Full-time · Mid-Senior level,126.0,2 days,AI / ML Engineer,"['Python', 'Statistics', 'Machine Learning', 'Deep Learning', 'NLP', 'Spark']"
3467247562,Data Analyst,"Bengaluru, Karnataka, India",Hybrid,Full-time · Mid-Senior level,200.0,6 days,Data Analyst,"['Excel', 'Tableau', 'Power BI', 'Machine Learning', 'NLP', 'LLMs']"
3467826604,Embedded ML Engineer,"Bengaluru, Karnataka, India",On-site,Full-time · Mid-Senior level,61.0,1 day,AI / ML Engineer,"['Python', 'Machine Learning']"
3468012815,Lead Data Scientist,"Gurugram, Haryana, India",On-site,Full-time · Mid-Senior level,200.0,3 days,AI / ML Engineer,"['Python', 'Power BI', 'Statistics', 'Machine Learning', 'LLMs']"
3462431614,Artificial Intelligence Developer,"Bengaluru, Karnataka, India",On-site,Full-time · Mid-Senior level,200.0,5 days,AI / ML Engineer,"['Python', 'Excel', 'Tableau', 'Machine Learning', 'Deep Learning', 'NLP', 'AWS', 'Azure']"
3463744088,Data Analyst,"Bangalore Urban, Karnataka, India",Hybrid,Full-time · Mid-Senior level,200.0,2 days,Data Analyst,"['SQL', 'Excel', 'Power BI', 'AWS']"
3468028509,Data Analyst,"Gurugram, Haryana, India",Hybrid,Full-time · Mid-Senior level,200.0,3 days,Data Analyst,"['SQL', 'Excel']"
3464557021,Artificial Intelligence Engineer,"Chennai, Tamil Nadu, India",On-site,Full-time,200.0,3 days,AI / ML Engineer,['Python']
3466686457,AI Engineer - WFH,"Hyderabad, Telangana, India",Remote,Full-time · Mid-Senior level,87.0,6 days,AI / ML Engineer,"['Python', 'Statistics', 'Machine Learning', 'Deep Learning', 'NLP', 'Spark']"
3467362043,Data Analyst,India,Remote,Full-time · Entry level,200.0,1 day,Data Analyst,[]
3466686533,AI Engineer - WFH,"Pune, Maharashtra, India",Remote,Full-time · Mid-Senior level,145.0,6 days,AI / ML Engineer,"['Python', 'Statistics', 'Machine Learning', 'Deep Learning', 'NLP', 'Spark']"
3473769798,Manager-Machine Learning Engineer,"Bengaluru, Karnataka, India",Hybrid,Full-time,155.0,2 days,AI / ML Engineer,"['Python', 'A/B Testing', 'Machine Learning', 'NLP']"
3466106945,Data Analyst,"Hyderabad, Telangana, India",On-site,Full-time · Mid-Senior level,200.0,2 days,Data Analyst,['SQL']
3467211659,AI Engineer_ MLOPs_ 3-12yrs,"Bangalore Urban, Karnataka, India",On-site,Full-time · Mid-Senior level,,6 days,AI / ML Engineer,"['Python', 'SQL', 'A/B Testing', 'Machine Learning', 'Spark', 'Docker', 'AWS', 'Azure', 'GCP']"
3473575066,Senior Associate - Data Analyst,"Hyderabad, Telangana, India",Remote,Full-time · Mid-Senior level,159.0,2 days,Data Analyst,"['Python', 'SQL', 'Excel', 'Power BI', 'Statistics', 'Spark', 'GCP']"
3469057159,Data Scientist,"Bengaluru, Karnataka, India",Hybrid,Full-time · Mid-Senior level,200.0,11 hours,AI / ML Engineer,"['Python', 'SQL', 'Statistics', 'Machine Learning', 'Deep Learning', 'NLP', 'Spark']"
3469076549,Senior Privacy Data Scientist,"Bengaluru, Karnataka, India",On-site,Full-time · Mid-Senior level,19.0,8 hours,AI / ML Engineer,"['Python', 'SQL', 'Statistics', 'A/B Testing', 'Machine Learning', 'Deep Learning', 'NLP', 'LLMs', 'Spark']"
3466799076,Senior Data Analyst [T500-4357],"Bengaluru, Karnataka, India",On-site,Full-time · Director,200.0,6 days,Data Analyst,"['Python', 'SQL', 'Excel', 'Tableau', 'Power BI', 'Statistics', 'LLMs']"
3473479523,Data Analyst - 10 to 15 Years - Permanent Remote - upto 27L,India,Remote,Full-time · Mid-Senior level,200.0,2 days,Data Analyst,['SQL']
3467872340,Data Analyst,India,Remote,Contract · Mid-Senior level,200.0,1 day,Data Analyst,"['Python', 'SQL', 'Statistics', 'A/B Testing', 'Airflow']"
3477226567,Data Analyst - Motor Underwriting,"Mumbai, Maharashtra, India",On-site,Full-time · Mid-Senior level,108.0,5 hours,Data Analyst,"['Python', 'Excel']"
3473571822,Senior Data Analyst  | WFH,"Bhopal, Madhya Pradesh, India",Remote,Full-time · Mid-Senior level,122.0,2 days,Data Analyst,"['Python', 'SQL', 'Excel', 'Power BI', 'Statistics', 'Spark', 'GCP']"
3466691287,Machine Learning Engineer - WFH,Greater Bengaluru Area,Remote,Full-time · Mid-Senior level,200.0,6 days,AI / ML Engineer,"['Python', 'Statistics', 'Machine Learning', 'Deep Learning', 'NLP', 'Spark']"
3469817274,"IT Senior Data Analyst | MUST: DBT, Snowflake, Source to Pay (S2P)",India,Remote,Full-time · Entry level,111.0,5 hours,Data Analyst,"['SQL', 'Excel', 'Tableau', 'LLMs']"
3472136504,Sr AI Engineer,"Bengaluru, Karnataka, India",Hybrid,Full-time,105.0,3 days,AI / ML Engineer,"['Python', 'Machine Learning', 'NLP']"
3469045768,Senior Machine Learning Engineer,"Hyderabad, Telangana, India",On-site,Full-time,31.0,12 hours,AI / ML Engineer,"['Python', 'Machine Learning', 'Deep Learning']"
3464533202,Software Engineer Machine Learning Platform,"Bengaluru, Karnataka, India",Hybrid,Full-time,200.0,3 days,AI / ML Engineer,"['SQL', 'Machine Learning', 'Deep Learning', 'NLP', 'LLMs', 'Docker', 'Kubernetes', 'AWS']"
3461003799,Data Scientist,"Bangalore Urban, Karnataka, India",Hybrid,Full-time · Mid-Senior level,200.0,6 days,AI / ML Engineer,"['Python', 'SQL', 'Statistics', 'Machine Learning', 'Deep Learning', 'NLP', 'Spark']"
3472505726,Principal Data Scientist,India,Remote,Full-time · Mid-Senior level,200.0,1 day,AI / ML Engineer,"['Python', 'SQL', 'Statistics', 'A/B Testing', 'LLMs', 'Spark']"
